start_sec,end_sec,duration_sec
1.7,1.933333,0.233333
2.033333,2.166667,0.13333400000000006
2.2,2.266667,0.06666699999999981
2.4,2.533333,0.13333299999999992
2.566667,2.666667,0.10000000000000009
2.733333,2.833333,0.10000000000000009
2.933333,3.3,0.36666699999999963
3.333333,3.633333,0.2999999999999998
3.7,3.733333,0.033332999999999835
3.766667,3.8,0.033332999999999835
3.833333,3.866667,0.033333999999999975
3.933333,4.033333,0.09999999999999964
4.1,4.133333,0.03333300000000072
6.833333,7.066667,0.23333400000000015
7.133333,7.233333,0.09999999999999964
7.3,7.433333,0.13333300000000037
7.766667,8.1,0.33333299999999966
8.133333,8.5,0.36666699999999963
8.566667,8.633333,0.06666599999999967
8.7,8.833333,0.13333300000000037
8.9,8.933333,0.03333299999999895
9.1,9.133333,0.03333300000000072
13.6,14.2,0.5999999999999996
14.233333,14.266667,0.033333999999999975
14.333333,14.366667,0.033333999999999975
14.466667,14.5,0.03333300000000072
14.533333,14.566667,0.033333999999999975
14.9,14.933333,0.03333299999999895
15.1,15.533333,0.4333330000000011
15.766667,15.8,0.03333300000000072
15.966667,16.0,0.03333300000000072
17.3,17.6,0.3000000000000007
17.633333,17.666667,0.033333999999999975
17.7,17.8,0.10000000000000142
17.933333,17.966667,0.033333999999999975
18.0,18.133333,0.13333300000000037
18.2,18.366667,0.16666700000000034
18.5,18.533333,0.03333299999999895
19.3,19.966667,0.6666670000000003
20.033333,20.1,0.06666700000000247
20.133333,20.2,0.06666699999999892
20.233333,20.8,0.5666670000000025
20.866667,21.033333,0.16666599999999931
21.066667,21.533333,0.466666
21.6,22.066667,0.4666669999999975
23.0,23.533333,0.533332999999999
23.7,23.733333,0.03333299999999895
24.1,24.133333,0.03333299999999895
25.0,25.566667,0.5666669999999989
25.6,25.966667,0.36666699999999963
26.0,26.233333,0.23333299999999824
26.333333,26.533333,0.1999999999999993
26.566667,26.633333,0.06666600000000145
26.7,27.166667,0.46666700000000105
27.233333,27.266667,0.03333400000000353
27.966667,28.366667,0.3999999999999986
28.4,28.433333,0.0333330000000025
28.466667,28.566667,0.09999999999999787
28.633333,28.766667,0.1333340000000014
29.7,29.733333,0.03333299999999895
29.9,29.933333,0.0333330000000025
30.666667,31.133333,0.466666
31.166667,31.2,0.03333299999999895
31.266667,31.4,0.13333299999999682
31.6,31.733333,0.13333299999999682
31.8,31.833333,0.03333299999999895
32.133333,32.166667,0.03333399999999642
32.6,33.166667,0.5666669999999954
33.233333,33.3,0.06666699999999537
33.4,33.433333,0.03333299999999895
33.9,33.933333,0.03333299999999895
33.966667,34.1,0.13333300000000037
35.5,35.7,0.20000000000000284
35.733333,35.766667,0.03333399999999642
35.833333,35.933333,0.09999999999999432
36.0,36.033333,0.03333299999999895
37.233333,37.333333,0.10000000000000142
37.366667,37.966667,0.6000000000000014
38.0,38.066667,0.06666700000000247
38.233333,38.266667,0.03333399999999642
