start_sec,end_sec,duration_sec
0.0,2.266667,2.266667
2.466667,2.5,0.033332999999999835
2.766667,2.833333,0.06666600000000011
2.966667,3.3,0.33333299999999966
3.333333,3.366667,0.033333999999999975
3.4,3.433333,0.03333300000000028
3.466667,4.366667,0.8999999999999995
5.133333,5.633333,0.5
5.8,5.833333,0.033332999999999835
5.866667,5.933333,0.06666600000000056
6.066667,6.233333,0.1666660000000002
6.266667,6.3,0.033332999999999835
6.366667,6.433333,0.06666600000000056
6.5,6.533333,0.033332999999999835
6.733333,6.833333,0.09999999999999964
7.0,7.1,0.09999999999999964
7.133333,7.833333,0.6999999999999993
7.866667,8.2,0.33333299999999966
8.3,10.666667,2.3666669999999996
11.0,11.033333,0.03333300000000072
11.1,12.433333,1.3333329999999997
12.766667,12.8,0.03333300000000072
13.0,13.433333,0.4333329999999993
13.633333,13.666667,0.033333999999999975
13.7,13.766667,0.0666670000000007
13.866667,13.9,0.03333300000000072
14.0,14.033333,0.03333300000000072
14.066667,14.133333,0.06666599999999967
14.166667,14.3,0.13333300000000037
14.666667,14.7,0.03333299999999895
14.733333,15.033333,0.3000000000000007
15.166667,15.3,0.13333300000000037
15.366667,15.433333,0.06666599999999967
15.466667,15.9,0.4333330000000011
15.933333,15.966667,0.033333999999999975
16.333333,16.366667,0.033333999999999975
16.4,16.5,0.10000000000000142
16.666667,16.7,0.03333299999999895
16.733333,21.7,4.966667000000001
21.866667,21.9,0.03333299999999895
22.133333,22.166667,0.033333999999999975
22.433333,22.466667,0.033333999999999975
22.5,23.3,0.8000000000000007
23.5,23.6,0.10000000000000142
23.666667,23.833333,0.16666599999999931
23.966667,25.566667,1.5999999999999979
25.866667,25.966667,0.10000000000000142
26.233333,26.266667,0.03333400000000353
26.4,26.5,0.10000000000000142
26.666667,27.0,0.33333299999999966
27.033333,29.4,2.3666669999999996
29.566667,29.6,0.0333330000000025
29.633333,29.8,0.16666700000000034
29.866667,34.9,5.033332999999999
35.166667,35.2,0.03333300000000605
35.233333,35.266667,0.03333399999999642
35.3,35.366667,0.06666700000000247
35.466667,35.5,0.03333299999999895
35.6,35.833333,0.2333330000000018
35.9,36.2,0.30000000000000426
36.3,36.533333,0.2333330000000018
36.866667,36.9,0.03333299999999895
36.933333,36.966667,0.03333400000000353
37.1,37.133333,0.03333299999999895
37.3,37.433333,0.13333300000000037
37.466667,39.433333,1.9666659999999965
39.966667,40.5,0.533332999999999
40.566667,41.033333,0.4666659999999965
41.2,41.266667,0.06666699999999537
41.466667,41.533333,0.0666659999999979
41.666667,41.733333,0.066666000000005
41.866667,42.433333,0.5666659999999979
