start_sec,end_sec,duration_sec
0.033333,0.1,0.066667
0.366667,0.466667,0.09999999999999998
0.533333,0.8,0.2666670000000001
0.9,1.066667,0.166667
1.1,1.133333,0.033332999999999835
1.433333,1.466667,0.033333999999999975
1.9,2.066667,0.1666669999999999
2.1,2.133333,0.033332999999999835
2.2,2.533333,0.33333299999999966
2.6,2.733333,0.13333299999999992
3.0,3.033333,0.033332999999999835
3.066667,3.2,0.13333300000000037
3.533333,3.733333,0.20000000000000018
3.833333,3.966667,0.13333400000000006
4.033333,4.133333,0.10000000000000053
9.733333,9.933333,0.1999999999999993
10.033333,10.333333,0.29999999999999893
10.433333,10.533333,0.10000000000000142
10.566667,10.766667,0.1999999999999993
10.8,10.833333,0.03333299999999895
11.1,11.133333,0.03333300000000072
12.7,12.9,0.20000000000000107
12.933333,13.033333,0.10000000000000142
13.066667,13.1,0.03333299999999895
13.133333,13.333333,0.1999999999999993
13.366667,13.5,0.13333300000000037
13.6,13.733333,0.13333300000000037
13.766667,13.833333,0.06666599999999967
14.1,14.133333,0.03333300000000072
14.166667,14.2,0.03333299999999895
14.6,14.666667,0.0666670000000007
16.433333,16.7,0.2666669999999982
16.733333,17.033333,0.3000000000000007
17.1,17.433333,0.33333299999999966
17.466667,17.566667,0.09999999999999787
17.633333,17.766667,0.1333340000000014
18.066667,18.133333,0.06666600000000145
20.1,20.533333,0.4333329999999975
20.666667,20.7,0.03333299999999895
22.266667,22.466667,0.1999999999999993
22.5,22.533333,0.03333299999999895
22.566667,22.8,0.2333330000000018
24.033333,24.333333,0.3000000000000007
24.366667,24.433333,0.06666600000000145
24.466667,24.633333,0.16666599999999931
24.733333,24.766667,0.03333400000000353
24.9,24.933333,0.0333330000000025
25.6,25.666667,0.06666699999999892
25.833333,26.066667,0.23333399999999926
26.1,26.233333,0.13333299999999682
26.266667,26.3,0.03333299999999895
27.3,27.866667,0.5666669999999989
27.9,27.966667,0.06666700000000247
28.866667,29.0,0.13333300000000037
29.1,29.233333,0.13333299999999682
29.266667,29.5,0.23333299999999824
29.733333,29.766667,0.03333400000000353
30.0,30.033333,0.03333299999999895
31.166667,31.333333,0.16666599999999931
31.366667,31.533333,0.16666599999999931
31.6,31.733333,0.13333299999999682
31.866667,31.933333,0.06666600000000145
34.166667,34.333333,0.16666600000000642
34.4,34.966667,0.5666670000000025
36.1,36.3,0.19999999999999574
36.333333,36.466667,0.13333399999999784
36.5,36.766667,0.2666669999999982
37.733333,37.866667,0.13333399999999784
37.9,38.366667,0.46666700000000105
38.5,38.566667,0.06666700000000247
38.9,38.933333,0.03333299999999895
39.966667,40.0,0.03333299999999895
40.5,40.533333,0.03333299999999895
44.133333,44.433333,0.29999999999999716
44.466667,44.633333,0.16666599999999931
44.666667,44.7,0.03333300000000605
44.8,44.9,0.10000000000000142
48.466667,48.866667,0.3999999999999986
48.9,49.033333,0.13333300000000037
49.066667,49.133333,0.0666659999999979
49.366667,49.466667,0.10000000000000142
49.7,49.733333,0.03333299999999895
50.333333,50.466667,0.13333399999999784
50.5,50.666667,0.1666669999999968
50.733333,50.8,0.06666699999999537
52.466667,52.666667,0.19999999999999574
52.7,52.766667,0.06666699999999537
52.8,52.966667,0.1666670000000039
54.1,54.133333,0.03333299999999895
54.166667,54.333333,0.16666600000000642
54.366667,54.4,0.03333299999999895
54.566667,54.733333,0.16666599999999931
60.0,60.033333,0.03333299999999895
60.066667,60.433333,0.36666599999999505
60.466667,60.5,0.03333299999999895
60.6,60.666667,0.06666699999999537
60.733333,60.766667,0.03333399999999642
62.2,62.4,0.19999999999999574
62.5,62.633333,0.13333300000000037
62.733333,62.8,0.06666699999999537
62.9,62.933333,0.03333299999999895
63.3,63.333333,0.03333300000000605
63.5,63.866667,0.36666699999999963
63.9,64.066667,0.1666669999999968
64.333333,64.366667,0.03333400000001063
64.433333,64.6,0.16666699999998968
64.633333,64.666667,0.03333400000001063
64.733333,64.966667,0.23333399999999926
65.233333,65.266667,0.03333399999999642
65.3,65.333333,0.03333299999999895
65.7,65.733333,0.03333299999999895
69.533333,69.8,0.2666669999999982
69.866667,69.9,0.03333299999999895
69.933333,70.133333,0.19999999999998863
70.166667,70.2,0.03333299999999895
70.5,70.533333,0.03333299999999895
70.6,70.633333,0.03333299999999895
71.2,71.233333,0.03333299999999895
71.6,71.633333,0.03333299999999895
72.433333,72.8,0.3666669999999925
72.833333,73.1,0.2666669999999982
73.3,73.333333,0.03333299999999895
73.566667,73.6,0.03333299999999895
75.466667,75.733333,0.26666600000000074
75.766667,75.8,0.03333299999999895
75.833333,76.166667,0.3333340000000078
76.4,76.566667,0.16666699999998968
77.666667,77.8,0.13333299999999326
77.9,78.0,0.09999999999999432
78.033333,78.233333,0.20000000000000284
78.433333,78.533333,0.09999999999999432
79.966667,80.066667,0.09999999999999432
80.166667,80.2,0.03333299999999895
82.6,82.833333,0.2333330000000018
82.9,83.166667,0.2666669999999982
84.466667,84.733333,0.26666600000000074
84.766667,84.866667,0.10000000000000853
84.9,85.2,0.29999999999999716
86.666667,86.9,0.2333330000000018
86.966667,87.333333,0.36666599999999505
89.0,89.066667,0.06666699999999537
89.3,89.333333,0.03333299999999895
89.966667,90.133333,0.1666659999999922
90.233333,90.266667,0.03333399999999642
90.466667,90.566667,0.09999999999999432
90.6,90.766667,0.1666670000000039
91.2,91.333333,0.13333299999999326
94.666667,94.766667,0.09999999999999432
94.966667,95.166667,0.20000000000000284
95.3,95.333333,0.03333299999999895
95.966667,96.1,0.13333299999999326
96.133333,96.166667,0.03333400000001063
96.2,96.233333,0.03333299999999895
96.266667,96.366667,0.10000000000000853
96.433333,96.566667,0.13333399999999074
96.633333,96.7,0.06666700000000958
96.766667,97.0,0.2333330000000018
97.033333,97.066667,0.03333399999999642
97.1,97.166667,0.06666700000000958
97.233333,97.3,0.06666699999999537
98.366667,98.466667,0.09999999999999432
98.566667,98.6,0.03333299999999895
98.633333,98.933333,0.30000000000001137
99.7,99.733333,0.03333299999999895
99.8,99.833333,0.03333299999999895
100.033333,100.066667,0.03333399999999642
100.233333,100.266667,0.03333399999999642
100.3,100.333333,0.03333299999999895
100.566667,100.6,0.03333299999999895
100.666667,100.933333,0.26666600000000074
100.966667,101.0,0.03333299999999895
101.066667,101.166667,0.10000000000000853
101.2,101.333333,0.13333299999999326
101.366667,101.4,0.03333299999999895
101.433333,101.466667,0.03333399999999642
101.5,101.533333,0.03333299999999895
104.833333,104.866667,0.03333400000001063
104.9,105.0,0.09999999999999432
105.1,105.2,0.10000000000000853
105.3,105.4,0.10000000000000853
105.5,105.666667,0.1666670000000039
106.1,106.233333,0.13333300000000747
106.5,106.533333,0.03333299999999895
109.8,110.0,0.20000000000000284
110.066667,110.4,0.3333330000000103
110.5,110.766667,0.2666669999999982
110.833333,110.866667,0.03333400000001063
110.9,110.966667,0.06666699999999537
111.0,111.033333,0.03333299999999895
116.0,116.1,0.09999999999999432
116.133333,116.466667,0.3333340000000078
116.633333,116.7,0.06666700000000958
117.9,118.066667,0.16666699999998968
118.1,118.133333,0.03333299999999895
118.166667,118.5,0.3333329999999961
118.533333,118.6,0.06666699999999537
118.7,118.8,0.09999999999999432
119.366667,119.4,0.03333299999999895
119.966667,120.1,0.13333299999999326
120.166667,120.333333,0.1666659999999922
120.4,120.533333,0.13333299999999326
120.6,120.633333,0.03333299999999895
120.666667,120.7,0.03333299999999895
121.133333,121.166667,0.03333400000001063
122.4,122.6,0.19999999999998863
122.666667,123.0,0.3333329999999961
123.8,123.9,0.10000000000000853
124.266667,124.4,0.13333300000000747
126.166667,126.5,0.3333329999999961
126.533333,126.7,0.1666670000000039
127.033333,127.066667,0.03333399999999642
127.3,127.333333,0.03333299999999895
127.5,127.6,0.09999999999999432
127.666667,127.7,0.03333299999999895
127.933333,128.033333,0.09999999999999432
129.033333,129.333333,0.30000000000001137
129.4,129.566667,0.16666699999998968
129.7,129.733333,0.03333299999999895
130.6,130.733333,0.13333299999999326
130.833333,131.0,0.16666699999998968
131.033333,131.2,0.16666699999998968
131.433333,131.466667,0.03333399999999642
133.966667,134.166667,0.19999999999998863
134.366667,134.4,0.03333299999999895
134.433333,134.533333,0.09999999999999432
134.633333,134.666667,0.03333399999999642
134.7,134.766667,0.06666700000002379
139.966667,140.066667,0.09999999999999432
140.166667,140.333333,0.16666600000002063
140.433333,140.6,0.16666699999998968
140.733333,140.766667,0.033334000000024844
140.9,140.933333,0.03333299999999895
141.133333,141.166667,0.03333399999999642
142.3,142.333333,0.03333299999999895
142.433333,142.466667,0.03333399999999642
142.633333,143.033333,0.4000000000000057
148.166667,148.666667,0.5
148.7,148.766667,0.06666700000002379
150.0,150.033333,0.03333299999999895
150.1,150.166667,0.06666699999999537
150.333333,150.466667,0.13333399999999074
150.5,150.566667,0.06666699999999537
150.633333,150.733333,0.09999999999999432
150.766667,150.933333,0.1666659999999922
151.133333,151.266667,0.13333400000001916
151.533333,151.566667,0.03333399999999642
153.3,153.433333,0.13333299999999326
153.466667,153.6,0.13333299999999326
153.633333,153.766667,0.13333400000001916
153.866667,154.033333,0.1666659999999922
154.9,155.133333,0.23333299999998758
155.166667,155.2,0.03333299999999895
155.233333,155.3,0.06666700000002379
155.333333,155.366667,0.03333399999999642
155.433333,155.466667,0.03333399999999642
159.1,159.666667,0.5666669999999954
159.7,159.833333,0.13333300000002168
160.8,160.966667,0.16666699999998968
161.0,161.066667,0.06666699999999537
161.1,161.4,0.30000000000001137
161.533333,161.566667,0.03333399999999642
162.4,162.566667,0.16666699999998968
162.6,162.966667,0.36666700000000674
