frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-0.002619,0.002619,0.008381,49,48,0.010078
1,0.033333,-0.004205,0.004205,0.013457,50,50,0.013643
2,0.066667,-0.005833,0.005833,0.018666,49,49,0.020649
3,0.100000,0.000372,0.000372,0.001190,48,48,0.010865
4,0.133333,0.010552,0.010552,0.033765,47,47,0.032916
5,0.166667,0.003280,0.003280,0.010498,47,47,0.015824
6,0.200000,-0.007388,0.007388,0.023642,46,46,0.020565
7,0.233333,-0.003613,0.003613,0.011561,46,46,0.022717
8,0.266667,-0.005664,0.005664,0.018126,45,45,0.024051
9,0.300000,-0.005041,0.005041,0.016130,45,45,0.007720
10,0.333333,-0.013107,0.013107,0.041942,44,44,0.023993
11,0.366667,-0.004681,0.004681,0.014979,42,42,0.022814
12,0.400000,0.010511,0.010511,0.033635,42,42,0.014617
13,0.433333,0.008448,0.008448,0.027034,41,41,0.021408
14,0.466667,0.014523,0.014523,0.046474,41,41,0.016807
15,0.500000,0.003329,0.003329,0.010652,41,41,0.013172
16,0.533333,-0.009704,0.009704,0.031052,41,41,0.018065
17,0.566667,-0.000044,0.000044,0.000142,41,41,0.008364
18,0.600000,-0.010339,0.010339,0.033084,41,41,0.014136
19,0.633333,-0.009126,0.009126,0.029204,41,41,0.016648
20,0.666667,-0.008366,0.008366,0.026770,41,41,0.008378
21,0.700000,-0.001110,0.001110,0.003553,41,41,0.015170
22,0.733333,0.005979,0.005979,0.019132,41,41,0.016082
23,0.766667,0.007498,0.007498,0.023992,41,41,0.013993
24,0.800000,0.003408,0.003408,0.010906,41,41,0.017450
25,0.833333,-0.003994,0.003994,0.012781,41,41,0.007723
26,0.866667,-0.011233,0.011233,0.035947,41,41,0.018913
27,0.900000,-0.007378,0.007378,0.023611,41,41,0.018226
28,0.933333,-0.012668,0.012668,0.040538,40,40,0.021524
29,0.966667,-0.005728,0.005728,0.018331,40,40,0.012342
30,1.000000,0.010729,0.010729,0.034333,39,39,0.016625
31,1.033333,0.011505,0.011505,0.036816,49,48,0.031354
32,1.066667,0.005096,0.005096,0.016309,48,47,0.024492
33,1.100000,-0.004196,0.004196,0.013428,47,46,0.025851
34,1.133333,-0.017379,0.017379,0.055612,46,45,0.033890
35,1.166667,0.002280,0.002280,0.007294,46,45,0.017512
36,1.200000,0.001867,0.001867,0.005973,46,45,0.013294
37,1.233333,0.002888,0.002888,0.009240,46,45,0.017071
38,1.266667,-0.003135,0.003135,0.010033,45,44,0.013983
39,1.300000,-0.003589,0.003589,0.011485,45,44,0.026214
40,1.333333,-0.004149,0.004149,0.013275,45,44,0.011086
41,1.366667,0.002697,0.002697,0.008629,45,44,0.018318
42,1.400000,0.004008,0.004008,0.012825,45,44,0.015739
43,1.433333,0.001418,0.001418,0.004538,45,44,0.010772
44,1.466667,-0.008569,0.008569,0.027422,45,45,0.011902
45,1.500000,-0.000267,0.000267,0.000854,45,45,0.010778
46,1.533333,-0.001483,0.001483,0.004747,44,43,0.008508
47,1.566667,-0.006561,0.006561,0.020994,43,42,0.018103
48,1.600000,-0.003752,0.003752,0.012007,43,42,0.030066
49,1.633333,0.000418,0.000418,0.001339,43,41,0.014241
50,1.666667,-0.000031,0.000031,0.000100,43,41,0.013033
51,1.700000,-0.008070,0.008070,0.025823,42,41,0.010140
52,1.733333,-0.013801,0.013801,0.044163,42,41,0.015532
53,1.766667,-0.000728,0.000728,0.002331,42,41,0.019394
54,1.800000,-0.007369,0.007369,0.023581,42,41,0.011338
55,1.833333,-0.002165,0.002165,0.006927,42,41,0.014568
56,1.866667,0.000068,0.000068,0.000218,42,41,0.011496
57,1.900000,0.007293,0.007293,0.023336,42,41,0.018483
58,1.933333,0.012022,0.012022,0.038470,42,41,0.014172
59,1.966667,-0.000537,0.000537,0.001717,42,41,0.012449
60,2.000000,-0.001450,0.001450,0.004641,42,41,0.010773
61,2.033333,-0.003013,0.003013,0.009642,50,50,0.018272
62,2.066667,-0.000248,0.000248,0.000795,49,49,0.012540
63,2.100000,-0.000010,0.000010,0.000031,49,49,0.027401
64,2.133333,-0.001865,0.001865,0.005968,48,48,0.013924
65,2.166667,-0.000656,0.000656,0.002098,47,47,0.014380
66,2.200000,-0.003500,0.003500,0.011201,47,47,0.009163
67,2.233333,-0.003391,0.003391,0.010851,46,46,0.009472
68,2.266667,0.000259,0.000259,0.000830,45,45,0.015059
69,2.300000,-0.000370,0.000370,0.001184,45,45,0.027100
70,2.333333,0.006150,0.006150,0.019680,45,45,0.053067
71,2.366667,0.001561,0.001561,0.004995,45,45,0.017839
72,2.400000,0.005318,0.005318,0.017016,44,44,0.013380
73,2.433333,0.003971,0.003971,0.012708,44,44,0.015653
74,2.466667,-0.006525,0.006525,0.020881,44,44,0.012027
75,2.500000,-0.007846,0.007846,0.025107,44,44,0.018330
76,2.533333,-0.005545,0.005545,0.017744,43,43,0.015877
77,2.566667,0.005172,0.005172,0.016550,43,43,0.013430
78,2.600000,-0.005164,0.005164,0.016525,42,42,0.032780
79,2.633333,0.019066,0.019066,0.061012,42,42,0.038896
80,2.666667,0.012993,0.012993,0.041576,42,42,0.011252
81,2.700000,0.006500,0.006500,0.020800,42,42,0.014452
82,2.733333,0.023054,0.023054,0.073774,42,42,0.022825
83,2.766667,0.002112,0.002112,0.006758,42,42,0.016273
84,2.800000,0.113685,0.113685,0.363791,42,42,0.050340
85,2.833333,0.088399,0.088399,0.282877,42,42,0.051820
86,2.866667,0.032734,0.032734,0.104748,42,42,0.033638
87,2.900000,0.006587,0.006587,0.021080,41,41,0.029629
88,2.933333,-0.182943,0.182943,0.585418,41,41,0.065350
89,2.966667,-0.179118,0.179118,0.573176,41,41,0.038944
90,3.000000,-0.119524,0.119524,0.382476,41,41,0.049557
91,3.033333,0.002214,0.002214,0.007085,50,50,0.020732
92,3.066667,0.006006,0.006006,0.019219,50,50,0.010671
