frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-0.011296,0.011296,0.036147,50,50,0.032352
1,0.033333,-0.010935,0.010935,0.034992,50,50,0.039053
2,0.066667,0.004855,0.004855,0.015535,45,45,0.020685
3,0.100000,0.005149,0.005149,0.016478,43,43,0.021020
4,0.133333,-0.012742,0.012742,0.040775,41,41,0.028348
5,0.166667,-0.016177,0.016177,0.051766,38,38,0.027987
6,0.200000,-0.002185,0.002185,0.006993,37,37,0.039088
7,0.233333,-0.002481,0.002481,0.007939,50,50,0.010967
8,0.266667,0.002207,0.002207,0.007064,48,48,0.015201
9,0.300000,-0.001836,0.001836,0.005874,48,48,0.026847
10,0.333333,0.001172,0.001172,0.003751,47,47,0.013937
11,0.366667,0.001662,0.001662,0.005318,45,45,0.014936
12,0.400000,0.006704,0.006704,0.021451,44,44,0.018367
13,0.433333,0.006294,0.006294,0.020141,43,43,0.025252
14,0.466667,-0.000528,0.000528,0.001691,41,41,0.013070
15,0.500000,-0.001934,0.001934,0.006188,41,41,0.034335
16,0.533333,-0.005480,0.005480,0.017535,41,41,0.017632
17,0.566667,-0.004014,0.004014,0.012844,40,40,0.023698
18,0.600000,-0.009708,0.009708,0.031067,39,39,0.015306
19,0.633333,-0.001397,0.001397,0.004471,37,37,0.009208
20,0.666667,-0.002888,0.002888,0.009243,50,50,0.016044
21,0.700000,-0.001238,0.001238,0.003963,48,48,0.019856
22,0.733333,0.001746,0.001746,0.005587,44,44,0.017951
23,0.766667,0.000151,0.000151,0.000482,44,44,0.016654
24,0.800000,0.000412,0.000412,0.001318,44,44,0.020879
25,0.833333,-0.004792,0.004792,0.015335,44,44,0.037833
26,0.866667,-0.014443,0.014443,0.046218,43,43,0.017943
27,0.900000,-0.010426,0.010426,0.033362,43,43,0.024386
28,0.933333,-0.000001,0.000001,0.000002,43,43,0.030439
29,0.966667,0.003290,0.003290,0.010529,43,43,0.011624
30,1.000000,0.003207,0.003207,0.010264,43,43,0.022156
31,1.033333,-0.000411,0.000411,0.001315,50,50,0.029566
32,1.066667,0.005643,0.005643,0.018057,50,50,0.014420
33,1.100000,0.009641,0.009641,0.030851,49,49,0.042860
34,1.133333,0.006458,0.006458,0.020667,49,49,0.018453
35,1.166667,-0.000475,0.000475,0.001520,49,49,0.021714
36,1.200000,-0.000369,0.000369,0.001180,47,47,0.037205
37,1.233333,-0.004180,0.004180,0.013375,44,44,0.019970
38,1.266667,-0.004009,0.004009,0.012830,44,44,0.012833
39,1.300000,-0.003693,0.003693,0.011818,44,44,0.021564
40,1.333333,0.000113,0.000113,0.000361,44,44,0.014547
41,1.366667,0.001273,0.001273,0.004074,44,44,0.017300
42,1.400000,0.018536,0.018536,0.059314,44,44,0.020529
43,1.433333,0.014197,0.014197,0.045431,44,44,0.042944
44,1.466667,0.014377,0.014377,0.046007,42,42,0.027408
45,1.500000,-0.002292,0.002292,0.007334,42,42,0.029372
46,1.533333,-0.011558,0.011558,0.036985,40,40,0.042572
47,1.566667,-0.011275,0.011275,0.036079,40,40,0.048388
48,1.600000,-0.023420,0.023420,0.074945,40,40,0.043698
49,1.633333,-0.053590,0.053590,0.171488,40,40,0.042691
50,1.666667,0.000914,0.000914,0.002924,40,40,0.028839
51,1.700000,0.005039,0.005039,0.016124,39,39,0.032573
52,1.733333,0.012534,0.012534,0.040110,39,39,0.035641
53,1.766667,0.004897,0.004897,0.015669,50,50,0.043241
54,1.800000,0.059000,0.059000,0.188801,50,50,0.079706
55,1.833333,0.045914,0.045914,0.146924,48,48,0.064164
56,1.866667,0.022533,0.022533,0.072107,48,45,0.043700
57,1.900000,0.004681,0.004681,0.014980,48,45,0.037491
58,1.933333,-0.011952,0.011952,0.038245,47,45,0.047414
59,1.966667,0.009324,0.009324,0.029837,47,47,0.022567
60,2.000000,-0.007250,0.007250,0.023201,46,46,0.028363
61,2.033333,-0.033601,0.033601,0.107525,50,50,0.051510
62,2.066667,-0.042879,0.042879,0.137213,47,47,0.047254
63,2.100000,-0.004090,0.004090,0.013087,45,45,0.043242
64,2.133333,-0.015459,0.015459,0.049470,44,44,0.041275
65,2.166667,-0.013523,0.013523,0.043274,43,43,0.038553
66,2.200000,-0.003610,0.003610,0.011553,42,42,0.038203
67,2.233333,0.030214,0.030214,0.096683,40,40,0.056609
68,2.266667,0.006878,0.006878,0.022009,39,39,0.025351
69,2.300000,-0.004629,0.004629,0.014813,38,38,0.020940
70,2.333333,-0.013699,0.013699,0.043837,50,50,0.043118
71,2.366667,-0.013100,0.013100,0.041921,50,50,0.030544
72,2.400000,-0.009964,0.009964,0.031886,48,48,0.025452
73,2.433333,-0.003867,0.003867,0.012374,44,44,0.026343
74,2.466667,0.004673,0.004673,0.014953,41,41,0.017833
75,2.500000,-0.000047,0.000047,0.000149,40,40,0.033970
76,2.533333,-0.001004,0.001004,0.003213,38,38,0.017876
77,2.566667,0.000135,0.000135,0.000431,38,38,0.012710
78,2.600000,-0.001766,0.001766,0.005652,49,49,0.033858
79,2.633333,-0.003374,0.003374,0.010797,49,49,0.025847
80,2.666667,-0.001703,0.001703,0.005450,48,48,0.021699
81,2.700000,0.005983,0.005983,0.019145,48,48,0.034115
82,2.733333,-0.000259,0.000259,0.000830,46,46,0.032849
83,2.766667,-0.003322,0.003322,0.010631,45,45,0.052132
84,2.800000,0.004246,0.004246,0.013586,45,44,0.016020
85,2.833333,-0.000971,0.000971,0.003107,45,44,0.028608
86,2.866667,0.003560,0.003560,0.011391,45,45,0.031123
87,2.900000,-0.002452,0.002452,0.007847,45,45,0.019366
88,2.933333,-0.000331,0.000331,0.001060,45,45,0.014787
89,2.966667,-0.002091,0.002091,0.006692,45,45,0.014708
90,3.000000,-0.004265,0.004265,0.013649,44,44,0.017227
