frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-1.084248,1.084248,3.469593,46,43,2.027263
1,0.033333,-0.765977,0.765977,2.451125,43,41,1.530080
2,0.066667,-1.810793,1.810793,5.794536,23,22,1.635987
3,0.100000,-0.412260,0.412260,1.319233,19,18,1.993127
4,0.133333,-0.700737,0.700737,2.242357,49,48,3.214402
5,0.166667,-0.592575,0.592575,1.896240,12,11,1.041585
6,0.200000,-0.185916,0.185916,0.594931,6,6,1.560709
7,0.233333,-0.102145,0.102145,0.326863,47,47,2.020939
8,0.266667,-0.256776,0.256776,0.821684,21,19,2.079373
9,0.300000,-0.708751,0.708751,2.268003,13,13,0.418024
10,0.333333,-0.156785,0.156785,0.501712,47,47,0.273069
11,0.366667,0.601703,0.601703,1.925451,41,41,3.534736
12,0.400000,1.184173,1.184173,3.789353,28,28,0.570169
13,0.433333,1.195642,1.195642,3.826056,23,19,2.255984
14,0.466667,0.827367,0.827367,2.647576,47,45,1.692568
15,0.500000,0.681476,0.681476,2.180723,34,23,0.285400
16,0.533333,0.759841,0.759841,2.431491,34,23,0.393344
17,0.566667,0.869217,0.869217,2.781495,49,49,0.722256
18,0.600000,1.345126,1.345126,4.304403,29,29,2.808535
19,0.633333,1.797605,1.797605,5.752335,15,14,0.884790
20,0.666667,0.358132,0.358132,1.146022,30,29,1.144348
21,0.700000,0.954181,0.954181,3.053380,18,17,1.670007
22,0.733333,0.688252,0.688252,2.202407,40,39,2.715181
23,0.766667,0.665859,0.665859,2.130748,30,15,0.302083
24,0.800000,-0.183498,0.183498,0.587193,26,6,3.254986
25,0.833333,1.982289,1.982289,6.343326,45,45,5.124063
26,0.866667,1.233163,1.233163,3.946121,26,20,0.543659
27,0.900000,1.441277,1.441277,4.612085,21,17,0.188575
28,0.933333,0.694165,0.694165,2.221327,48,45,0.250569
29,0.966667,0.510913,0.510913,1.634923,44,44,0.279207
30,1.000000,-0.485149,0.485149,1.552476,38,38,0.377597
31,1.033333,-1.123570,1.123570,3.595425,47,47,0.908182
32,1.066667,-1.371034,1.371034,4.387308,31,30,1.896353
33,1.100000,-1.609147,1.609147,5.149270,23,22,0.586896
34,1.133333,-1.620409,1.620409,5.185310,47,46,1.325427
35,1.166667,-1.500746,1.500746,4.802387,33,31,1.943179
36,1.200000,-1.830927,1.830927,5.858967,23,23,2.153521
37,1.233333,-1.256010,1.256010,4.019232,42,40,1.911300
38,1.266667,-1.407186,1.407186,4.502995,31,30,0.972768
39,1.300000,0.411973,0.411973,1.318314,25,24,4.289424
40,1.333333,-0.038734,0.038734,0.123950,42,42,4.658499
41,1.366667,-0.382804,0.382804,1.224972,24,20,3.952718
42,1.400000,-1.688867,1.688867,5.404376,9,6,1.029743
43,1.433333,-1.050574,1.050574,3.361837,41,38,2.369148
44,1.466667,-1.310925,1.310925,4.194960,16,15,1.357135
45,1.500000,-0.282270,0.282270,0.903265,9,7,0.574928
46,1.533333,-0.276069,0.276069,0.883422,50,49,1.098915
47,1.566667,-0.004941,0.004941,0.015813,37,37,0.934629
