frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,0.001937,0.001937,0.006198,50,50,0.009337
1,0.033333,0.009489,0.009489,0.030366,50,50,0.021506
2,0.066667,0.014854,0.014854,0.047532,50,50,0.012309
3,0.100000,0.010305,0.010305,0.032975,49,49,0.020063
4,0.133333,-0.001583,0.001583,0.005066,47,47,0.016105
5,0.166667,-0.012340,0.012340,0.039488,47,47,0.017989
6,0.200000,-0.022118,0.022118,0.070779,47,47,0.025210
7,0.233333,-0.014941,0.014941,0.047810,47,47,0.018321
8,0.266667,-0.014160,0.014160,0.045311,46,46,0.028686
9,0.300000,-0.002617,0.002617,0.008373,45,45,0.011962
10,0.333333,0.007287,0.007287,0.023317,45,45,0.018401
11,0.366667,0.013585,0.013585,0.043473,45,45,0.014803
12,0.400000,0.002437,0.002437,0.007798,45,45,0.010751
13,0.433333,-0.000556,0.000556,0.001780,45,45,0.009390
14,0.466667,0.006972,0.006972,0.022310,45,45,0.020280
15,0.500000,0.003439,0.003439,0.011004,45,45,0.012981
16,0.533333,-0.003126,0.003126,0.010004,45,45,0.026793
17,0.566667,0.005074,0.005074,0.016238,45,45,0.031578
18,0.600000,-0.003309,0.003309,0.010589,45,45,0.015925
19,0.633333,0.004062,0.004062,0.012997,44,44,0.015611
20,0.666667,-0.001796,0.001796,0.005749,44,44,0.013426
21,0.700000,-0.003166,0.003166,0.010131,44,44,0.020852
22,0.733333,0.003361,0.003361,0.010754,44,44,0.021852
23,0.766667,0.062179,0.062179,0.198971,44,44,0.047092
24,0.800000,0.043649,0.043649,0.139678,44,44,0.049461
25,0.833333,0.028003,0.028003,0.089609,41,41,0.098640
26,0.866667,-0.318411,0.318411,1.018914,41,41,0.071545
27,0.900000,0.048550,0.048550,0.155361,41,41,0.065643
28,0.933333,0.064695,0.064695,0.207024,41,41,0.086579
29,0.966667,0.055478,0.055478,0.177531,41,41,0.045572
30,1.000000,0.002679,0.002679,0.008574,41,41,0.015601
31,1.033333,0.001788,0.001788,0.005721,50,50,0.017949
32,1.066667,-0.011991,0.011991,0.038371,50,50,0.028688
33,1.100000,-0.011874,0.011874,0.037998,50,50,0.015354
34,1.133333,0.009669,0.009669,0.030939,50,50,0.029447
35,1.166667,0.007486,0.007486,0.023956,50,50,0.020862
36,1.200000,-0.003880,0.003880,0.012416,50,50,0.031701
37,1.233333,-0.009059,0.009059,0.028988,50,50,0.018876
38,1.266667,-0.003045,0.003045,0.009745,50,50,0.012847
39,1.300000,-0.004633,0.004633,0.014827,50,50,0.009162
40,1.333333,-0.006698,0.006698,0.021435,50,50,0.019704
41,1.366667,-0.004490,0.004490,0.014368,50,50,0.017249
42,1.400000,0.003560,0.003560,0.011391,50,50,0.021783
43,1.433333,0.007787,0.007787,0.024917,50,50,0.017527
44,1.466667,0.012068,0.012068,0.038617,50,50,0.016439
45,1.500000,0.004382,0.004382,0.014024,50,50,0.009799
46,1.533333,0.008065,0.008065,0.025807,50,50,0.014574
47,1.566667,-0.003098,0.003098,0.009914,49,49,0.019190
48,1.600000,-0.016313,0.016313,0.052201,49,49,0.021298
49,1.633333,0.012035,0.012035,0.038512,49,49,0.013198
50,1.666667,0.023683,0.023683,0.075785,49,49,0.047142
51,1.700000,0.040194,0.040194,0.128622,48,48,0.030585
52,1.733333,0.043406,0.043406,0.138898,46,46,0.045479
53,1.766667,0.054085,0.054085,0.173072,46,46,0.053442
54,1.800000,0.008811,0.008811,0.028195,46,46,0.023394
55,1.833333,-0.045582,0.045582,0.145861,46,46,0.035701
56,1.866667,-0.047491,0.047491,0.151973,45,45,0.035513
57,1.900000,0.115489,0.115489,0.369564,45,45,0.052294
58,1.933333,0.129482,0.129482,0.414342,45,45,0.031394
59,1.966667,0.000361,0.000361,0.001155,45,45,0.016831
60,2.000000,0.003065,0.003065,0.009809,45,45,0.017738
61,2.033333,0.004197,0.004197,0.013430,50,50,0.025599
62,2.066667,0.011860,0.011860,0.037953,48,48,0.037147
63,2.100000,-0.073221,0.073221,0.234309,48,48,0.031294
64,2.133333,-0.058432,0.058432,0.186982,48,48,0.036279
65,2.166667,0.165833,0.165833,0.530667,48,48,0.068400
66,2.200000,0.105595,0.105595,0.337904,47,47,0.048276
67,2.233333,-0.065028,0.065028,0.208091,47,47,0.035488
68,2.266667,0.058195,0.058195,0.186225,47,47,0.039210
69,2.300000,-0.056775,0.056775,0.181679,47,47,0.040423
70,2.333333,-0.065188,0.065188,0.208601,47,47,0.033842
71,2.366667,-0.006195,0.006195,0.019825,47,47,0.016869
72,2.400000,0.020816,0.020816,0.066610,47,47,0.019950
73,2.433333,0.034186,0.034186,0.109396,47,47,0.021298
74,2.466667,-0.038283,0.038283,0.122506,47,47,0.024210
75,2.500000,-0.070763,0.070763,0.226442,47,47,0.028271
76,2.533333,-0.017769,0.017769,0.056862,47,47,0.016585
77,2.566667,-0.025543,0.025543,0.081736,47,47,0.032732
78,2.600000,-0.002997,0.002997,0.009589,47,47,0.030173
79,2.633333,-0.006866,0.006866,0.021973,47,47,0.019231
80,2.666667,-0.005356,0.005356,0.017141,47,47,0.044787
81,2.700000,-0.000427,0.000427,0.001367,47,47,0.013767
82,2.733333,0.016753,0.016753,0.053609,47,47,0.015768
83,2.766667,0.008683,0.008683,0.027787,47,47,0.016199
84,2.800000,0.014531,0.014531,0.046500,47,47,0.013335
85,2.833333,0.028273,0.028273,0.090473,47,47,0.026643
86,2.866667,-0.000568,0.000568,0.001817,45,45,0.042511
87,2.900000,-0.033609,0.033609,0.107550,44,44,0.030091
88,2.933333,-0.035528,0.035528,0.113691,44,44,0.021651
89,2.966667,-0.054238,0.054238,0.173560,44,44,0.021920
90,3.000000,-0.015254,0.015254,0.048813,44,44,0.031781
91,3.033333,0.004241,0.004241,0.013571,50,50,0.025625
92,3.066667,0.001011,0.001011,0.003235,49,49,0.023776
93,3.100000,-0.009766,0.009766,0.031252,49,49,0.019430
94,3.133333,-0.026604,0.026604,0.085134,48,48,0.049118
95,3.166667,-0.014884,0.014884,0.047628,48,48,0.019991
96,3.200000,-0.000963,0.000963,0.003082,48,48,0.027884
97,3.233333,0.005874,0.005874,0.018797,48,48,0.019762
98,3.266667,0.029258,0.029258,0.093625,48,48,0.037127
99,3.300000,0.028858,0.028858,0.092345,48,48,0.034447
100,3.333333,0.009184,0.009184,0.029388,48,48,0.029474
101,3.366667,-0.000529,0.000529,0.001693,48,48,0.015664
102,3.400000,-0.022099,0.022099,0.070717,48,48,0.018028
103,3.433333,-0.014878,0.014878,0.047611,48,48,0.019450
104,3.466667,-0.015545,0.015545,0.049743,47,47,0.019195
105,3.500000,-0.008799,0.008799,0.028156,47,47,0.027518
106,3.533333,-0.008810,0.008810,0.028193,47,47,0.039630
107,3.566667,-0.005754,0.005754,0.018412,47,47,0.011522
108,3.600000,-0.001025,0.001025,0.003281,47,47,0.021011
109,3.633333,0.001408,0.001408,0.004506,47,47,0.012747
110,3.666667,0.015499,0.015499,0.049595,46,46,0.026894
111,3.700000,0.015330,0.015330,0.049055,46,46,0.029372
112,3.733333,0.006885,0.006885,0.022032,46,46,0.018441
113,3.766667,0.002102,0.002102,0.006726,46,46,0.015781
114,3.800000,-0.005001,0.005001,0.016002,46,46,0.017617
115,3.833333,-0.013395,0.013395,0.042864,46,46,0.016536
116,3.866667,-0.014825,0.014825,0.047439,46,46,0.017666
117,3.900000,-0.010056,0.010056,0.032179,46,46,0.014835
118,3.933333,-0.002953,0.002953,0.009449,46,46,0.021687
119,3.966667,0.006536,0.006536,0.020917,46,46,0.026772
120,4.000000,-0.002713,0.002713,0.008680,46,46,0.020937
121,4.033333,0.014964,0.014964,0.047885,50,50,0.016837
122,4.066667,0.020816,0.020816,0.066611,50,50,0.019810
123,4.100000,0.012842,0.012842,0.041096,50,50,0.018483
124,4.133333,0.003939,0.003939,0.012606,49,49,0.012024
125,4.166667,0.000217,0.000217,0.000693,49,49,0.012983
126,4.200000,-0.008621,0.008621,0.027587,49,49,0.038618
127,4.233333,0.122264,0.122264,0.391244,49,49,0.095610
128,4.266667,-0.124752,0.124752,0.399205,48,48,0.050236
129,4.300000,0.024730,0.024730,0.079137,48,48,0.057453
130,4.333333,0.019492,0.019492,0.062375,48,48,0.031770
131,4.366667,-0.001053,0.001053,0.003370,48,48,0.016106
132,4.400000,0.031521,0.031521,0.100867,48,48,0.022357
133,4.433333,-0.004585,0.004585,0.014671,46,46,0.024791
134,4.466667,-0.026672,0.026672,0.085351,46,46,0.029274
135,4.500000,-0.017807,0.017807,0.056982,46,46,0.020633
136,4.533333,0.085043,0.085043,0.272137,46,46,0.040064
137,4.566667,0.110879,0.110879,0.354813,46,46,0.050527
138,4.600000,0.035066,0.035066,0.112210,46,46,0.048521
139,4.633333,0.003795,0.003795,0.012145,45,45,0.014994
140,4.666667,-0.009633,0.009633,0.030827,45,45,0.022538
141,4.700000,-0.084016,0.084016,0.268850,45,45,0.032917
