frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,0.009017,0.009017,0.028855,50,50,0.086929
1,0.033333,-0.006276,0.006276,0.020085,50,50,0.027100
2,0.066667,0.039591,0.039591,0.126691,49,49,0.051942
3,0.100000,0.050301,0.050301,0.160963,49,49,0.032332
4,0.133333,-0.081576,0.081576,0.261042,49,49,1.253578
5,0.166667,-0.503744,0.503744,1.611982,47,47,0.324109
6,0.200000,-0.615030,0.615030,1.968097,45,45,0.282866
7,0.233333,-0.401600,0.401600,1.285119,44,44,3.228092
8,0.266667,-0.450568,0.450568,1.441817,42,42,0.321856
9,0.300000,-0.396286,0.396286,1.268116,41,41,0.343936
10,0.333333,-0.225432,0.225432,0.721383,40,40,0.217816
11,0.366667,0.015100,0.015100,0.048320,36,36,0.183608
12,0.400000,0.023451,0.023451,0.075043,35,35,0.160787
13,0.433333,0.149332,0.149332,0.477862,50,50,0.440924
14,0.466667,-0.422393,0.422393,1.351659,46,46,0.407608
15,0.500000,-1.070959,1.070959,3.427068,45,45,1.282365
16,0.533333,0.042492,0.042492,0.135976,45,45,0.255025
17,0.566667,-0.570590,0.570590,1.825887,44,44,1.250819
18,0.600000,-0.214340,0.214340,0.685887,41,41,0.534664
19,0.633333,-0.234437,0.234437,0.750198,37,37,0.630817
20,0.666667,-0.438062,0.438062,1.401797,26,26,0.562835
21,0.700000,-0.337803,0.337803,1.080971,45,45,0.294384
22,0.733333,-0.245607,0.245607,0.785941,37,37,0.228231
23,0.766667,-0.023687,0.023687,0.075799,28,28,0.230619
24,0.800000,0.649844,0.649844,2.079501,47,47,0.216379
25,0.833333,1.123930,1.123930,3.596575,36,36,0.652614
26,0.866667,-0.049635,0.049635,0.158831,29,29,0.225073
27,0.900000,-0.481858,0.481858,1.541946,49,49,0.357410
28,0.933333,-0.314373,0.314373,1.005994,45,43,0.182387
29,0.966667,-0.348728,0.348728,1.115930,38,36,0.960731
30,1.000000,-0.146930,0.146930,0.470177,36,34,0.113734
31,1.033333,0.169202,0.169202,0.541446,47,47,0.134535
32,1.066667,0.424781,0.424781,1.359300,40,40,0.185556
33,1.100000,0.087252,0.087252,0.279205,35,35,0.117553
34,1.133333,-0.222957,0.222957,0.713462,33,33,0.134869
35,1.166667,-0.385124,0.385124,1.232397,49,49,0.110711
36,1.200000,-0.381188,0.381188,1.219801,47,47,0.144935
37,1.233333,-0.471241,0.471241,1.507973,47,47,0.185184
38,1.266667,-0.441014,0.441014,1.411244,40,40,0.193923
39,1.300000,-0.024112,0.024112,0.077158,30,30,0.093502
40,1.333333,-0.040691,0.040691,0.130213,28,28,0.086581
41,1.366667,-0.195177,0.195177,0.624568,45,45,0.143005
42,1.400000,-0.201736,0.201736,0.645556,37,37,0.090655
43,1.433333,-0.329635,0.329635,1.054833,35,35,0.102148
44,1.466667,-0.326471,0.326471,1.044707,42,42,0.124067
45,1.500000,-0.249214,0.249214,0.797486,37,37,0.110128
46,1.533333,-0.238800,0.238800,0.764162,29,29,0.080677
47,1.566667,-0.218094,0.218094,0.697901,49,49,0.124120
48,1.600000,-0.097156,0.097156,0.310901,35,35,0.116410
49,1.633333,-0.023946,0.023946,0.076627,33,33,0.070552
50,1.666667,-0.156216,0.156216,0.499893,43,43,0.114144
51,1.700000,-0.113063,0.113063,0.361801,41,41,0.088059
52,1.733333,-0.174788,0.174788,0.559320,35,35,0.079868
53,1.766667,-0.112447,0.112447,0.359830,31,31,0.076090
54,1.800000,-0.057596,0.057596,0.184308,27,27,0.091295
55,1.833333,-0.053284,0.053284,0.170508,8,8,0.075142
56,1.866667,-0.052033,0.052033,0.166504,21,21,0.057270
57,1.900000,-0.016495,0.016495,0.052784,6,6,0.007306
58,1.933333,-0.007596,0.007596,0.024306,33,27,0.023279
59,1.966667,0.009615,0.009615,0.030769,28,26,0.024410
60,2.000000,0.002095,0.002095,0.006704,40,38,0.034598
61,2.033333,0.000594,0.000594,0.001901,42,38,0.045348
62,2.066667,-0.017161,0.017161,0.054914,33,29,0.027825
63,2.100000,-0.006503,0.006503,0.020811,31,27,0.025066
64,2.133333,-0.017762,0.017762,0.056837,25,22,0.025321
65,2.166667,-0.019784,0.019784,0.063309,50,48,0.024957
66,2.200000,-0.119868,0.119868,0.383576,40,38,0.062875
67,2.233333,-0.020735,0.020735,0.066353,39,37,0.023631
68,2.266667,-0.012964,0.012964,0.041483,35,34,0.016428
69,2.300000,-0.008380,0.008380,0.026816,26,24,0.097112
70,2.333333,-0.010922,0.010922,0.034951,19,15,0.017165
71,2.366667,-0.003100,0.003100,0.009919,23,23,0.008756
72,2.400000,0.004950,0.004950,0.015841,17,17,0.060035
73,2.433333,0.002853,0.002853,0.009130,30,30,0.024301
74,2.466667,-0.013590,0.013590,0.043489,22,20,0.066372
75,2.500000,-0.008834,0.008834,0.028269,14,13,0.022767
76,2.533333,-0.017257,0.017257,0.055223,17,16,0.027886
77,2.566667,-0.007697,0.007697,0.024630,28,27,0.040606
78,2.600000,0.004238,0.004238,0.013562,17,17,0.029126
79,2.633333,0.008489,0.008489,0.027163,28,28,0.027158
80,2.666667,-0.000975,0.000975,0.003121,24,24,0.025838
81,2.700000,-0.004445,0.004445,0.014224,25,25,0.007497
82,2.733333,0.004282,0.004282,0.013701,31,29,0.013056
83,2.766667,0.002166,0.002166,0.006930,34,32,0.015883
84,2.800000,0.001904,0.001904,0.006092,31,29,0.048645
85,2.833333,-0.002442,0.002442,0.007813,27,26,0.011447
86,2.866667,-0.008163,0.008163,0.026120,29,28,0.030161
87,2.900000,-0.003195,0.003195,0.010224,20,19,0.017418
