frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-0.000025,0.000025,0.000079,50,48,0.007133
1,0.033333,-0.010698,0.010698,0.034234,50,48,0.082647
2,0.066667,-0.045822,0.045822,0.146632,50,48,0.081771
3,0.100000,-0.033004,0.033004,0.105611,50,48,0.138199
4,0.133333,-0.128774,0.128774,0.412077,50,48,0.152913
5,0.166667,-0.242586,0.242586,0.776275,50,48,0.256631
6,0.200000,-0.437649,0.437649,1.400477,49,48,0.254107
7,0.233333,-0.503033,0.503033,1.609706,45,45,0.227983
8,0.266667,-0.436462,0.436462,1.396679,45,45,0.454080
9,0.300000,-0.140306,0.140306,0.448979,45,45,0.390610
10,0.333333,-0.109214,0.109214,0.349484,44,44,0.561940
11,0.366667,-0.195209,0.195209,0.624668,38,38,1.098808
12,0.400000,0.405458,0.405458,1.297464,36,36,0.314776
13,0.433333,0.490518,0.490518,1.569657,49,49,0.180568
14,0.466667,0.356140,0.356140,1.139646,48,48,0.096306
15,0.500000,-0.023001,0.023001,0.073602,48,48,0.085722
16,0.533333,-0.223648,0.223648,0.715673,48,48,0.155893
17,0.566667,-0.291263,0.291263,0.932042,48,48,0.305953
18,0.600000,-0.131644,0.131644,0.421261,48,48,0.073636
19,0.633333,-0.065534,0.065534,0.209708,48,48,0.060208
20,0.666667,-0.007746,0.007746,0.024788,48,48,0.076844
21,0.700000,-0.266066,0.266066,0.851411,48,48,0.153709
22,0.733333,-0.314268,0.314268,1.005659,47,47,0.108153
23,0.766667,-0.441002,0.441002,1.411207,47,47,0.136921
24,0.800000,-0.428734,0.428734,1.371948,45,45,0.131423
25,0.833333,-0.429870,0.429870,1.375583,45,45,0.132764
26,0.866667,-0.377181,0.377181,1.206978,44,44,0.136251
27,0.900000,-0.349963,0.349963,1.119880,44,44,0.149329
28,0.933333,-0.288978,0.288978,0.924729,44,44,0.103496
29,0.966667,-0.391426,0.391426,1.252562,44,44,0.152109
30,1.000000,-0.979761,0.979761,3.135236,44,44,0.279693
31,1.033333,-0.250052,0.250052,0.800165,50,46,0.163071
32,1.066667,-0.217663,0.217663,0.696522,49,45,0.165602
33,1.100000,-0.243648,0.243648,0.779674,49,45,0.157124
34,1.133333,-0.159487,0.159487,0.510358,47,43,0.113195
35,1.166667,-0.170286,0.170286,0.544916,46,41,0.169623
36,1.200000,-0.167652,0.167652,0.536487,46,41,0.142805
37,1.233333,-0.181715,0.181715,0.581486,45,38,0.144301
38,1.266667,-0.226593,0.226593,0.725096,45,37,0.203757
39,1.300000,-0.072332,0.072332,0.231463,43,34,0.082994
40,1.333333,-0.138908,0.138908,0.444505,43,33,0.079763
41,1.366667,-0.082504,0.082504,0.264013,43,33,0.080536
42,1.400000,-0.047492,0.047492,0.151974,43,33,0.042390
43,1.433333,-0.030398,0.030398,0.097272,43,33,0.032282
44,1.466667,-0.015926,0.015926,0.050965,43,32,0.015291
45,1.500000,-0.017273,0.017273,0.055274,43,32,0.019227
46,1.533333,-0.012996,0.012996,0.041588,42,31,0.016937
47,1.566667,-0.003884,0.003884,0.012428,42,31,0.014166
48,1.600000,-0.000848,0.000848,0.002712,42,31,0.044521
