frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,0.007995,0.007995,0.025584,50,50,0.026246
1,0.033333,-0.005140,0.005140,0.016448,50,49,0.015381
2,0.066667,-0.018049,0.018049,0.057755,50,49,0.033071
3,0.100000,-0.006705,0.006705,0.021455,50,49,0.014765
4,0.133333,-0.004861,0.004861,0.015556,49,48,0.018573
5,0.166667,0.003743,0.003743,0.011979,49,48,0.013357
6,0.200000,-0.000918,0.000918,0.002937,49,48,0.014114
7,0.233333,0.003349,0.003349,0.010716,49,48,0.018237
8,0.266667,-0.005379,0.005379,0.017214,49,48,0.014759
9,0.300000,-0.004597,0.004597,0.014709,49,48,0.014549
10,0.333333,-0.006711,0.006711,0.021476,49,48,0.017822
11,0.366667,-0.008289,0.008289,0.026524,49,48,0.015994
12,0.400000,-0.013160,0.013160,0.042111,48,47,0.015440
13,0.433333,-0.006919,0.006919,0.022140,48,47,0.014144
14,0.466667,-0.008220,0.008220,0.026303,48,47,0.009920
15,0.500000,0.000726,0.000726,0.002324,48,47,0.009823
16,0.533333,-0.004397,0.004397,0.014071,48,47,0.008268
17,0.566667,-0.002885,0.002885,0.009231,48,47,0.012934
18,0.600000,-0.008961,0.008961,0.028677,48,47,0.014122
19,0.633333,-0.001298,0.001298,0.004153,48,47,0.014309
20,0.666667,-0.016244,0.016244,0.051980,48,47,0.017164
21,0.700000,-0.008246,0.008246,0.026387,48,47,0.016796
22,0.733333,-0.002542,0.002542,0.008135,48,47,0.014939
23,0.766667,-0.006189,0.006189,0.019805,48,47,0.011207
24,0.800000,-0.003809,0.003809,0.012188,48,47,0.013914
25,0.833333,-0.011647,0.011647,0.037271,48,47,0.021599
26,0.866667,-0.005604,0.005604,0.017933,48,47,0.025318
27,0.900000,-0.010503,0.010503,0.033611,48,47,0.066291
28,0.933333,-0.073350,0.073350,0.234720,48,47,0.281550
29,0.966667,-0.485262,0.485262,1.552839,45,44,0.705677
30,1.000000,-0.278568,0.278568,0.891419,44,42,0.234513
31,1.033333,-0.006809,0.006809,0.021788,50,45,0.328616
32,1.066667,-0.259161,0.259161,0.829317,45,44,0.282977
33,1.100000,-0.371059,0.371059,1.187387,42,41,0.467441
34,1.133333,-0.110124,0.110124,0.352397,37,37,0.229097
35,1.166667,-0.249993,0.249993,0.799977,37,37,0.514357
36,1.200000,-0.071041,0.071041,0.227331,50,50,0.379122
37,1.233333,0.181280,0.181280,0.580097,50,49,0.163235
38,1.266667,0.106511,0.106511,0.340836,48,47,0.156410
39,1.300000,-0.090479,0.090479,0.289534,48,48,0.193735
40,1.333333,-0.019817,0.019817,0.063413,47,47,0.190076
41,1.366667,0.561268,0.561268,1.796057,46,46,0.986738
42,1.400000,0.221401,0.221401,0.708484,38,37,0.163054
43,1.433333,0.041655,0.041655,0.133297,37,37,0.128489
44,1.466667,0.034031,0.034031,0.108900,50,50,0.074685
45,1.500000,-0.012687,0.012687,0.040598,50,50,0.087026
46,1.533333,-0.058149,0.058149,0.186077,50,50,0.076927
47,1.566667,-0.008123,0.008123,0.025994,50,50,0.068600
48,1.600000,-0.030266,0.030266,0.096851,50,50,0.106039
49,1.633333,-0.116658,0.116658,0.373305,50,50,0.609876
50,1.666667,0.372994,0.372994,1.193580,50,50,0.134650
51,1.700000,0.059823,0.059823,0.191434,50,50,0.084924
52,1.733333,0.084839,0.084839,0.271483,50,50,0.120387
53,1.766667,0.153123,0.153123,0.489993,47,47,0.093538
54,1.800000,0.059040,0.059040,0.188929,47,47,0.072738
55,1.833333,-0.017757,0.017757,0.056821,47,47,0.054265
56,1.866667,-0.101095,0.101095,0.323504,47,47,0.084029
