frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
97,3.233333,0.144992,0.144992,0.463976,35,35,0.182425
98,3.266667,-0.038803,0.038803,0.124171,48,48,0.242181
99,3.300000,-0.265705,0.265705,0.850256,44,44,0.251339
100,3.333333,-0.147003,0.147003,0.470410,39,39,0.160990
101,3.366667,0.000498,0.000498,0.001594,37,37,0.074878
102,3.400000,0.005629,0.005629,0.018012,49,49,0.033527
103,3.433333,0.109419,0.109419,0.350142,43,43,0.182780
104,3.466667,0.009937,0.009937,0.031798,41,41,0.122185
105,3.500000,-0.114618,0.114618,0.366778,41,41,0.154820
106,3.533333,-0.394380,0.394380,1.262017,36,36,0.177645
107,3.566667,-0.359104,0.359104,1.149134,34,34,0.551044
108,3.600000,-0.572343,0.572343,1.831497,44,44,0.240761
109,3.633333,-0.612119,0.612119,1.958781,28,28,0.179020
110,3.666667,-0.748065,0.748065,2.393807,16,16,0.377353
111,3.700000,-0.444318,0.444318,1.421819,39,39,0.414315
112,3.733333,-0.232607,0.232607,0.744341,20,20,0.535905
113,3.766667,0.005829,0.005829,0.018652,38,38,3.808781
114,3.800000,-0.091370,0.091370,0.292383,9,9,0.606690
115,3.833333,-1.399251,1.399251,4.477602,38,38,1.042397
116,3.866667,-1.259612,1.259612,4.030759,23,23,0.771400
117,3.900000,-1.707497,1.707497,5.463991,22,22,0.685959
118,3.933333,-1.952339,1.952339,6.247486,14,14,5.126168
119,3.966667,-0.087999,0.087999,0.281595,34,34,0.431362
120,4.000000,-0.291151,0.291151,0.931683,27,27,0.535063
121,4.033333,-0.644952,0.644952,2.063846,36,36,0.642787
122,4.066667,-1.610241,1.610241,5.152773,25,25,0.405175
123,4.100000,-1.328494,1.328494,4.251181,24,24,7.959475
124,4.133333,-0.120417,0.120417,0.385336,6,6,0.392402
125,4.166667,-0.166171,0.166171,0.531747,35,35,0.449876
