frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
98,3.266667,-0.522737,0.522737,1.672760,2,2,0.723568
99,3.300000,-0.286035,0.286035,0.915313,9,9,8.845375
100,3.333333,-0.827140,0.827140,2.646847,22,22,0.286615
101,3.366667,-0.742830,0.742830,2.377055,31,31,0.423839
102,3.400000,-0.884912,0.884912,2.831718,18,18,0.336482
103,3.433333,-1.480681,1.480681,4.738181,29,29,0.857966
104,3.466667,-1.180484,1.180484,3.777549,11,10,0.649346
105,3.500000,-1.497816,1.497816,4.793010,38,38,0.264175
106,3.533333,-1.200065,1.200065,3.840207,12,12,0.166745
107,3.566667,-0.678328,0.678328,2.170651,18,18,0.201476
108,3.600000,-0.353095,0.353095,1.129905,14,14,0.180493
109,3.633333,0.153689,0.153689,0.491804,30,29,0.270665
110,3.666667,-0.060344,0.060344,0.193100,17,17,0.184999
111,3.700000,-0.916833,0.916833,2.933867,44,44,0.789840
112,3.733333,-0.163603,0.163603,0.523528,31,31,0.131205
113,3.766667,-0.375041,0.375041,1.200133,27,27,0.211065
114,3.800000,-0.301818,0.301818,0.965818,44,44,0.252872
115,3.833333,-0.404868,0.404868,1.295578,41,41,0.263019
116,3.866667,-0.152187,0.152187,0.486999,33,32,0.145608
117,3.900000,-0.248885,0.248885,0.796433,29,29,0.130224
118,3.933333,-0.467706,0.467706,1.496660,48,48,0.238779
119,3.966667,-0.491419,0.491419,1.572542,36,36,0.203994
120,4.000000,-0.390554,0.390554,1.249772,34,33,0.180523
121,4.033333,-0.211424,0.211424,0.676558,44,44,0.388235
122,4.066667,-0.189268,0.189268,0.605657,38,38,0.188871
123,4.100000,-0.424862,0.424862,1.359558,32,32,0.277701
124,4.133333,-0.135155,0.135155,0.432494,48,48,0.103366
125,4.166667,-0.201044,0.201044,0.643340,41,41,0.165447
126,4.200000,-0.142679,0.142679,0.456573,35,35,0.124290
127,4.233333,-0.136660,0.136660,0.437311,31,31,0.063825
128,4.266667,-0.009150,0.009150,0.029280,49,49,0.024883
129,4.300000,-0.002382,0.002382,0.007621,41,41,0.017952
130,4.333333,-0.020866,0.020866,0.066770,39,39,0.035402
131,4.366667,-0.148397,0.148397,0.474870,34,34,0.095762
132,4.400000,-0.076936,0.076936,0.246195,44,44,0.087706
133,4.433333,-0.066537,0.066537,0.212918,36,36,0.067946
134,4.466667,-0.016955,0.016955,0.054256,32,32,0.028185
135,4.500000,0.005385,0.005385,0.017232,45,45,0.038290
136,4.533333,0.027559,0.027559,0.088190,40,40,0.027765
137,4.566667,0.007546,0.007546,0.024149,37,37,0.018641
138,4.600000,0.029182,0.029182,0.093382,34,34,0.032818
139,4.633333,0.041081,0.041081,0.131458,47,47,0.035379
140,4.666667,0.011878,0.011878,0.038011,41,41,0.017761
141,4.700000,0.001280,0.001280,0.004096,37,37,0.008371
142,4.733333,-0.021361,0.021361,0.068355,36,36,0.024442
143,4.766667,-0.052680,0.052680,0.168575,47,47,0.059355
144,4.800000,-0.130335,0.130335,0.417072,38,38,0.079025
145,4.833333,-0.115899,0.115899,0.370875,32,32,0.099539
146,4.866667,-0.152469,0.152469,0.487901,47,47,0.089142
147,4.900000,-0.113369,0.113369,0.362779,39,39,0.110528
148,4.933333,-0.046095,0.046095,0.147503,36,36,0.038377
149,4.966667,-0.002180,0.002180,0.006975,47,47,0.013462
150,5.000000,-0.002741,0.002741,0.008772,45,45,0.016312
151,5.033333,0.000128,0.000128,0.000409,47,47,0.018288
152,5.066667,0.014419,0.014419,0.046140,43,43,0.030058
153,5.100000,0.006502,0.006502,0.020807,34,34,0.013293
154,5.133333,0.009426,0.009426,0.030164,33,33,0.022668
155,5.166667,0.000092,0.000092,0.000295,44,43,0.019842
156,5.200000,0.000340,0.000340,0.001089,41,40,0.015379
157,5.233333,-0.008038,0.008038,0.025723,36,35,0.020778
158,5.266667,-0.026175,0.026175,0.083761,33,32,0.036436
159,5.300000,-0.164909,0.164909,0.527709,47,46,0.105864
160,5.333333,-0.064166,0.064166,0.205331,41,41,0.102165
161,5.366667,-0.086714,0.086714,0.277485,39,39,0.069868
162,5.400000,-0.099228,0.099228,0.317529,35,35,0.070912
163,5.433333,-0.098394,0.098394,0.314861,42,41,0.081107
164,5.466667,-0.060172,0.060172,0.192552,36,35,0.068915
165,5.500000,-0.050328,0.050328,0.161051,27,27,0.034057
166,5.533333,-0.008102,0.008102,0.025925,48,48,0.023728
167,5.566667,0.002850,0.002850,0.009121,41,40,0.012588
168,5.600000,0.014419,0.014419,0.046141,39,38,0.026100
169,5.633333,0.005633,0.005633,0.018026,35,34,0.016615
170,5.666667,-0.004773,0.004773,0.015274,45,45,0.016154
171,5.700000,-0.015173,0.015173,0.048552,40,40,0.027422
172,5.733333,-0.032690,0.032690,0.104608,38,38,0.027812
173,5.766667,-0.030312,0.030312,0.096997,34,34,0.046609
174,5.800000,-0.058683,0.058683,0.187785,43,43,0.036985
175,5.833333,-0.060612,0.060612,0.193957,34,34,0.060508
176,5.866667,-0.060351,0.060351,0.193123,32,32,0.053631
177,5.900000,-0.099077,0.099077,0.317048,45,45,0.079989
178,5.933333,-0.040994,0.040994,0.131182,37,37,0.036796
179,5.966667,-0.011561,0.011561,0.036995,36,36,0.033414
180,6.000000,-0.010253,0.010253,0.032808,49,49,0.014169
181,6.033333,-0.003288,0.003288,0.010523,49,49,0.013898
182,6.066667,-0.015690,0.015690,0.050208,42,42,0.021886
183,6.100000,-0.012611,0.012611,0.040356,37,37,0.015741
184,6.133333,-0.016350,0.016350,0.052319,37,37,0.020095
185,6.166667,-0.000910,0.000910,0.002911,48,48,0.013392
