frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
0,0.000000,-0.005365,0.005365,0.017169,49,49,0.051877
1,0.033333,-0.097153,0.097153,0.310891,45,45,0.085888
2,0.066667,-0.069180,0.069180,0.221375,36,36,0.058394
3,0.100000,-0.017152,0.017152,0.054886,32,32,0.083846
4,0.133333,-0.038107,0.038107,0.121944,50,48,0.080146
5,0.166667,-0.058411,0.058411,0.186914,39,39,0.027209
6,0.200000,-0.083615,0.083615,0.267568,36,36,0.071644
7,0.233333,-0.032764,0.032764,0.104846,50,50,0.034722
8,0.266667,-0.029452,0.029452,0.094247,43,43,0.056741
9,0.300000,-0.002102,0.002102,0.006726,39,39,0.012605
10,0.333333,-0.012919,0.012919,0.041339,38,38,0.022697
11,0.366667,-0.012829,0.012829,0.041054,50,50,0.031341
12,0.400000,-0.025665,0.025665,0.082128,46,46,0.026217
13,0.433333,-0.001916,0.001916,0.006131,46,46,0.012654
14,0.466667,-0.014382,0.014382,0.046022,46,46,0.022434
15,0.500000,-0.044398,0.044398,0.142074,40,40,0.065585
16,0.533333,-0.052311,0.052311,0.167395,38,38,0.042466
17,0.566667,-0.018779,0.018779,0.060093,34,34,0.033963
18,0.600000,-0.035977,0.035977,0.115127,48,48,0.034466
19,0.633333,-0.042153,0.042153,0.134889,38,38,0.027731
20,0.666667,-0.042583,0.042583,0.136264,37,37,0.051753
21,0.700000,-0.030421,0.030421,0.097347,50,50,0.029947
22,0.733333,-0.031664,0.031664,0.101325,44,44,0.043140
23,0.766667,-0.022364,0.022364,0.071564,42,42,0.028870
24,0.800000,-0.058123,0.058123,0.185992,42,42,0.056731
25,0.833333,-0.013967,0.013967,0.044695,41,41,0.022229
26,0.866667,-0.031873,0.031873,0.101995,37,37,0.033891
27,0.900000,-0.036848,0.036848,0.117914,29,29,0.045480
28,0.933333,-0.024117,0.024117,0.077175,48,48,0.028296
29,0.966667,-0.006832,0.006832,0.021863,42,42,0.017614
30,1.000000,-0.029796,0.029796,0.095346,39,39,0.025672
31,1.033333,-0.020004,0.020004,0.064012,50,50,0.027408
32,1.066667,-0.029471,0.029471,0.094307,40,40,0.032236
33,1.100000,-0.017566,0.017566,0.056210,37,37,0.022230
34,1.133333,-0.032717,0.032717,0.104695,35,35,0.037372
35,1.166667,-0.037529,0.037529,0.120094,46,46,0.049884
36,1.200000,-0.049657,0.049657,0.158902,39,39,0.064071
37,1.233333,-0.032588,0.032588,0.104282,35,35,0.038504
38,1.266667,-0.021987,0.021987,0.070357,50,50,0.022621
39,1.300000,-0.010070,0.010070,0.032225,43,43,0.041811
40,1.333333,-0.015753,0.015753,0.050409,36,36,0.035213
41,1.366667,-0.008062,0.008062,0.025799,34,34,0.016754
42,1.400000,-0.007938,0.007938,0.025403,47,47,0.028314
43,1.433333,-0.002861,0.002861,0.009156,39,39,0.012544
44,1.466667,-0.024435,0.024435,0.078193,39,39,0.022284
45,1.500000,-0.024971,0.024971,0.079908,48,48,0.033964
46,1.533333,-0.050469,0.050469,0.161501,46,46,0.055547
47,1.566667,-0.029759,0.029759,0.095229,42,42,0.043801
48,1.600000,-0.042682,0.042682,0.136583,38,38,0.035334
49,1.633333,-0.037015,0.037015,0.118449,35,35,0.024635
50,1.666667,-0.036506,0.036506,0.116819,50,50,0.028986
51,1.700000,-0.000528,0.000528,0.001691,43,43,0.011141
52,1.733333,-0.002116,0.002116,0.006770,42,42,0.039942
53,1.766667,-0.009834,0.009834,0.031468,36,36,0.028546
54,1.800000,-0.015141,0.015141,0.048452,34,34,0.029038
55,1.833333,-0.000578,0.000578,0.001850,50,50,0.011666
56,1.866667,-0.017299,0.017299,0.055356,49,49,0.022778
57,1.900000,-0.030696,0.030696,0.098226,38,38,0.040168
58,1.933333,-0.036878,0.036878,0.118011,36,36,0.053138
59,1.966667,-0.003171,0.003171,0.010148,47,47,0.011583
60,2.000000,-0.026426,0.026426,0.084563,45,45,0.025043
61,2.033333,-0.019388,0.019388,0.062041,47,47,0.016663
62,2.066667,-0.023528,0.023528,0.075290,44,44,0.041997
63,2.100000,-0.023441,0.023441,0.075012,40,40,0.056416
64,2.133333,-0.023549,0.023549,0.075357,37,37,0.036271
65,2.166667,-0.008041,0.008041,0.025731,35,35,0.032567
66,2.200000,-0.152463,0.152463,0.487881,48,48,0.128879
67,2.233333,-0.124232,0.124232,0.397543,29,29,0.146931
68,2.266667,-0.337302,0.337302,1.079366,28,28,0.263965
69,2.300000,-0.490270,0.490270,1.568862,46,46,0.441937
70,2.333333,-1.138083,1.138083,3.641866,36,36,3.115054
71,2.366667,-1.410878,1.410878,4.514809,14,14,1.967651
72,2.400000,-1.648613,1.648613,5.275562,39,39,4.735984
73,2.433333,-0.955735,0.955735,3.058353,6,6,0.945627
74,2.466667,-0.014564,0.014564,0.046604,14,14,0.998085
75,2.500000,-1.111662,1.111662,3.557319,2,2,0.009844
76,2.533333,-0.581438,0.581438,1.860602,36,36,0.351245
77,2.566667,-0.642513,0.642513,2.056041,27,27,0.235482
78,2.600000,-0.422038,0.422038,1.350522,42,42,0.198879
79,2.633333,-0.696575,0.696575,2.229040,35,35,0.216522
80,2.666667,-1.092793,1.092793,3.496938,27,27,0.176780
81,2.700000,-1.049150,1.049150,3.357279,26,26,0.541094
82,2.733333,-0.631725,0.631725,2.021520,17,17,0.470581
83,2.766667,-0.000270,0.000270,0.000862,37,37,0.355424
84,2.800000,-0.002987,0.002987,0.009558,26,26,0.050854
85,2.833333,-0.323389,0.323389,1.034844,48,47,0.280529
86,2.866667,-0.367636,0.367636,1.176437,30,30,0.339024
87,2.900000,-0.566040,0.566040,1.811329,26,26,0.432704
88,2.933333,-0.459727,0.459727,1.471128,38,38,0.159684
89,2.966667,-0.239896,0.239896,0.767668,27,27,0.178424
90,3.000000,-0.014159,0.014159,0.045310,45,45,0.057793
91,3.033333,-0.165488,0.165488,0.529562,44,44,0.176824
92,3.066667,0.007384,0.007384,0.023629,36,36,0.094390
93,3.100000,0.082499,0.082499,0.263996,28,28,0.082894
94,3.133333,0.008703,0.008703,0.027851,46,46,0.056941
95,3.166667,0.000104,0.000104,0.000332,36,36,0.120272
96,3.200000,-0.048361,0.048361,0.154757,33,33,0.141139
97,3.233333,-0.231307,0.231307,0.740181,45,45,0.202003
98,3.266667,-0.257236,0.257236,0.823154,32,32,0.152550
99,3.300000,-0.498670,0.498670,1.595743,21,21,0.168458
100,3.333333,-0.172490,0.172490,0.551969,45,45,0.166911
101,3.366667,-0.385956,0.385956,1.235058,29,29,0.260178
102,3.400000,-0.192971,0.192971,0.617506,26,26,0.154420
103,3.433333,-0.408928,0.408928,1.308570,48,48,0.290204
104,3.466667,-0.007404,0.007404,0.023691,35,35,0.036152
105,3.500000,-0.002088,0.002088,0.006683,25,25,0.024648
106,3.533333,-0.006817,0.006817,0.021813,40,40,0.033164
107,3.566667,-0.004182,0.004182,0.013381,32,32,0.015940
108,3.600000,-0.008071,0.008071,0.025826,27,27,0.038812
109,3.633333,-0.010784,0.010784,0.034510,45,45,0.032689
110,3.666667,-0.033015,0.033015,0.105649,31,31,0.077453
111,3.700000,-0.023923,0.023923,0.076554,25,25,0.067929
112,3.733333,-0.059846,0.059846,0.191507,45,45,0.088430
113,3.766667,-0.014492,0.014492,0.046375,32,32,0.025448
114,3.800000,-0.030793,0.030793,0.098536,29,29,0.029659
115,3.833333,-0.016663,0.016663,0.053321,45,45,0.027546
116,3.866667,-0.098087,0.098087,0.313878,35,35,0.104699
117,3.900000,-0.034299,0.034299,0.109757,26,26,0.055546
118,3.933333,-0.050247,0.050247,0.160790,46,46,0.069354
119,3.966667,-0.013733,0.013733,0.043946,36,36,0.079841
120,4.000000,-0.116867,0.116867,0.373973,31,31,0.161922
121,4.033333,-0.027256,0.027256,0.087220,46,46,0.108950
122,4.066667,-0.056339,0.056339,0.180285,38,38,0.071258
123,4.100000,-0.055649,0.055649,0.178076,33,33,0.054063
124,4.133333,-0.087857,0.087857,0.281143,46,46,0.115707
125,4.166667,-0.020864,0.020864,0.066764,36,36,0.084344
126,4.200000,-0.101371,0.101371,0.324387,36,36,0.146558
127,4.233333,-0.074474,0.074474,0.238317,44,44,0.130888
128,4.266667,-0.055376,0.055376,0.177203,33,33,0.112504
129,4.300000,-0.107599,0.107599,0.344317,30,30,0.138871
